regio1,serviceCharge,heatingType,telekomTvOffer,telekomHybridUploadSpeed,newlyConst,balcony,picturecount,pricetrend,telekomUploadSpeed,totalRent,yearConstructed,scoutId,noParkSpaces,firingTypes,hasKitchen,geo_bln,cellar,yearConstructedRange,baseRent,houseNumber,livingSpace,geo_krs,condition,interiorQual,petsAllowed,street,streetPlain,lift,baseRentRange,typeOfFlat,geo_plz,noRooms,thermalChar,floor,numberOfFloors,noRoomsRange,garden,livingSpaceRange,regio2,regio3,description,facilities,heatingCosts,energyEfficiencyClass,lastRefurbish,electricityBasePrice,electricityKwhPrice,date
Nordrhein_Westfalen,245,central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,6,4.62,10,840,1965,96107057,1,oil,FALSE,Nordrhein_Westfalen,TRUE,2,595,244,86,Dortmund,well_kept,normal,NA,Sch&uuml;ruferstra&szlig;e,Schüruferstraße,FALSE,4,ground_floor,44269,4,181.4,1,3,4,TRUE,4,Dortmund,Schüren,Die ebenerdig zu erreichende Erdgeschosswohnung befindet sich in einem gepflegten 8-Familienhaus. Aufgrund der Hanglage bietet sich ein unverbaubarer Blick ins Grüne.,"Die Wohnung ist mit Laminat ausgelegt. Das Badezimmer ist gefliest und verfügt über eine Wannendusche. Neue weiße Zimmertüren, ein Fliesenspiegel in der Küche und Fußleisten wurden kürzlich eingebaut.
Zur Wohnung gehört ein 10 m großer Keller. Eine Garage kann optional mitgemietet werden.",NA,NA,NA,NA,NA,May19
Rheinland_Pfalz,134,self_contained_central_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,8,3.47,10,NA,1871,111378734,2,gas,FALSE,Rheinland_Pfalz,FALSE,1,800,NA,89,Rhein_Pfalz_Kreis,refurbished,normal,no,no_information,NA,FALSE,5,ground_floor,67459,3,NA,NA,NA,3,FALSE,4,Rhein_Pfalz_Kreis,Böhl_Iggelheim,"Alles neu macht der Mai – so kann es auch für Sie in 2019 sein! Genießen Sie das „reine“ Gefühl und die „Unberührtheit“, die diese Wohnung nach der Kernsanierung bietet.

Sie verfügt über eine Wohnfläche von ca. 89 m² und einen äußerst gelungenen Grundriss.

Aufgeteilt ist die Wohnung in einen großzügigen Wohn-Essbereich, eine Küche, ein Schlafzimmer, ein Kinder- oder Arbeitszimmer, ein Bad, ein Gäste-WC und einen Flur.

Von der Küche aus haben Sie direkten Zugang zum Balkon, der zum gemütlichen Verweilen und Entspannen einlädt.

Das Badezimmer ist ausgestattet mit Dusche, Toilette, Waschbecken und praktischem Handtuchheizkörper. Zudem gibt es hier jeweils einen Anschluss für die Waschmaschine und für den Trockner.

Sämtliche Räume in der Wohnung sind lichtdurchflutet, freundlich und einladend, verstärkt durch die weißen, doppelt verglasten Alufenster und die weißen Wände. 

Die Böden sind mit pflegeleichtem Vinyl-Boden und Fliesen ausgelegt und somit auch für Allergiker geeignet.

Beheizt wird die Wohnung mittels einer neuen, energieeffizienten Gas-Etagenheizung der Firma Vaillant. 

Im Keller steht allen Mietern ein gemeinschaftlicher Raum zur Verfügung, der für zusätzlichen Stauraum sorgt.

Abgerundet wird dieses tolle Angebot durch 2 Stellplätze, auf dem Sie Ihre Fahrzeuge stets sicher und ohne Parkplatzsuche parken können.


Wir werden uns bemühen Ihre Anfrage so rasch als möglich zu beantworten, bitte haben Sie jedoch Verständnis, wenn dies 1-2 Werktage in Anspruch nehmen kann!",NA,NA,NA,2019,NA,NA,May19
Sachsen,255,floor_heating,ONE_YEAR_FREE,10,TRUE,TRUE,8,2.72,2.4,1300,2019,113147523,1,NA,FALSE,Sachsen,TRUE,9,965,4,83.8,Dresden,first_time_use,sophisticated,NA,Turnerweg,Turnerweg,TRUE,6,apartment,01097,3,NA,3,4,3,FALSE,4,Dresden,Äußere_Neustadt_Antonstadt,"Der Neubau entsteht im Herzen der Dresdner Neustadt.
Das Baugrundstück befindet sich inmitten einer sehr gefragten Lage.
Nicht nur die zentrale Lage und die schnelle öffentliche
Verkehrsanbindung durch den zu Fuß erreichbaren Bahnhof, wie auch Nahverkehrsanbindung, sondern auch die Architektur werden diesen
Neubaukomplex zu einem weiteren Highlight am Dresdner Wohnungsmarkt machen.
Hier entstehen 2- bis 4-Raum Wohnungen mit Wohnflächen zwischen 43 m² und 124 m². Jede Wohnung verfügt über eine Terrasse oder einen Balkon, die Erdgeschosswohnungen erhalten zusätzlich einen Gartenanteil. Die Räumlichkeiten bieten großzügig durchdachte, lichtdurchflutete Räume mit effektiv geschnittenen Grundrissen.","* 9 m² Balkon
* Bad mit bodengleicher Dusche, Badewanne und Fenster
* Gäste-WC
* Waschmaschinenanschluss im Bad und im Waschkeller
* Abstell
* Fußbodenheizung
* Fliesen & Echtholzparkett
* elektrische Rollläden
* Videotürsprechanlage mit Farbdisplay
* Aufzug
* KfW-Effizienshaus 55
* Tiefgaragenstellplatz (Miete bereits in der Gesamtmiete enthalten)

~ Der Mietbeginn: ca. Anfang 2020
~ Baustelle: Betreten verboten! Besichtigungen noch nicht möglich!",NA,NA,NA,NA,NA,Oct19
Sachsen,58.15,district_heating,ONE_YEAR_FREE,NA,FALSE,TRUE,9,1.53,40,NA,1964,108890903,NA,district_heating,FALSE,Sachsen,FALSE,2,343,35,58.15,Mittelsachsen_Kreis,NA,NA,NA,Gl&uuml;ck-Auf-Stra&szlig;e,Glück-Auf-Straße,FALSE,2,other,09599,3,86,3,NA,3,FALSE,2,Mittelsachsen_Kreis,Freiberg,"Abseits von Lärm und Abgasen in Ihre neue Wohnung
Ohne Stress, ohne Sorgen, schlüsselfertig einziehen.
Das muss kein Traum bleiben.",NA,87.23,NA,NA,NA,NA,May19
Bremen,138,self_contained_central_heating,NA,NA,FALSE,TRUE,19,2.46,NA,903,1950,114751222,NA,gas,FALSE,Bremen,FALSE,1,765,10,84.97,Bremen,refurbished,NA,NA,Hermann-Henrich-Meier-Allee,Hermann-Henrich-Meier-Allee,FALSE,5,apartment,28213,3,188.9,1,NA,3,FALSE,4,Bremen,Neu_Schwachhausen,"Es handelt sich hier um ein saniertes Mehrfamilienhaus aus dem Jahr 1950. 
","Diese Wohnung wurde neu saniert und ist wie folgt ausgestattet:- 3 geräumige Zimmer- Wohnzimmer mit optisch getrenntem Ess-,od. Arbeitsbereich- hochwertiger Vinylbodenbelag in allen Wohnräumen sowie im Flur- große Terrasse, hofseitig und mit Blick ins Grüne- Terrasse mit Markise , elektisch Bedienbar- neu und modern geflieste Küche mit Zugang zur Terrasse- kleine Speisekammer- neu und modern gefliestes Badezimmer mit Badewanne incl. DuschtrennwandJe nach Kapazität steht dem Mieter ein Keller zur Verfügung. Eine Garage kann optional angemietet werden.",NA,NA,NA,NA,NA,Feb20
Sachsen,70,self_contained_central_heating,ONE_YEAR_FREE,10,FALSE,FALSE,9,1.01,2.4,380,NA,114391930,NA,NA,FALSE,Sachsen,TRUE,NA,310,14,62,Mittelsachsen_Kreis,fully_renovated,NA,NA,Am Bahnhof,Am_Bahnhof,FALSE,2,NA,09599,2,NA,1,4,2,TRUE,3,Mittelsachsen_Kreis,Freiberg,"Am Bahnhof 14 in Freiberg
Heizkosten und Warmwasseraufbereitung sind direkt an Versorgungsträger zu richten. ca. 70,- Euro monatlich
Nicht in den angegebenen Nebenkosten enthalten (Etagenheizung)
Großes Tageslichtbad mit Wanne und Waschmaschinenanschluss

Hinweis Energieausweis: Nicht notwendig da Denkmalschutz
Anbieter-Objektnummer: ABM141OGl",NA,NA,NA,NA,NA,NA,Feb20
Bremen,88,central_heating,ONE_YEAR_FREE,10,FALSE,TRUE,5,1.89,2.4,584.25,1959,115270775,NA,gas:electricity,FALSE,Bremen,TRUE,2,452.25,35,60.3,Bremen,NA,NA,NA,Lesumer Heerstr.,Lesumer_Heerstr.,FALSE,3,ground_floor,28717,3,63,NA,NA,3,FALSE,2,Bremen,St._Magnus,"+ Komfortabler Bodenbelag: Die Wohnung ist zusätzlich mit barrierearmen und pflegeleichten Fußbodenbelag ausgestattet.

Diese schöne 3-Zimmer-Wohnung befindet sich in einer sehr gepflegten Wohnanalge in bester Lage von Lesum. Der Balkon lädt Sie zum verweilen ein. Das Tageslichtbad ist mit einer Badewanne ausgestattet, hier können Sie sich nach einem stressigen Tag entspannen. Die Küche ist mit einem Fliesenspiegel ausgestattet und bietetn Platz für Ihre eigene Einbauküche.

Wir sind für Sie vor Ort: Mittwochs 14:00 - 17:00 Uhr - Seefahrtstr. 7 in 28759 Bremen - Wir freuen uns auf Ihren Besuch.

",Rollläden; Warmwasserbereiter; Kellerraum; Gas-Zentralheizung; Rauchwarnmelder; Fenster mit Wärmeschutzverglasung; Bodenbelag PVC; Sat-Anlage/Kabel; Balkon;,44,B,NA,NA,NA,Feb20
Baden_Württemberg,110,oil_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,5,3.77,40,690,1970,106416361,1,oil,TRUE,Baden_Württemberg,TRUE,2,580,NA,53,Emmendingen_Kreis,well_kept,sophisticated,no,no_information,NA,FALSE,4,roof_storey,79211,2,138,2,2,2,FALSE,2,Emmendingen_Kreis,Denzlingen,"Diese ansprechende, lichtdurchflutete DG-Wohnung im zweiten OG besticht durch eine gehobene Innenausstattung. Zu dem Objekt zählen zwei schöne Zimmer. Ein aktueller Energieausweis liegt vor (Dach wurde mit Wärmedämmung ausgestattet). Eine Einbauküche und ein Kellerraum stehen Ihnen außerdem zur Verfügung. Bei Interesse kann eine abschließbare Einzelgarage hinzugemietet werden (70€ / Monat).","Parkett, Einbauküche, kein Balkon",NA,E,NA,NA,NA,Feb20
Nordrhein_Westfalen,95,self_contained_central_heating,ONE_YEAR_FREE,NA,FALSE,FALSE,7,1.92,40,NA,1953,91383597,NA,gas,FALSE,Nordrhein_Westfalen,TRUE,2,300,30,60,Gelsenkirchen,well_kept,normal,negotiable,H&uuml;ttenstr.,Hüttenstr.,FALSE,1,apartment,45888,2.5,207.7,2,5,2,FALSE,2,Gelsenkirchen,Bulmke_Hüllen,"Sie sind auf der Suche nach einer gepflegten und günstigen 2,5 Raum - Etagenwohnung in einer zentrumsnahen Lage?

Hier ist Sie.

Sie setzt sich aus einem Wohnzimmer, einer Küche mit Abstellraum und einem Schlafzimmer nebst Badezimmer zusammen, die alle von der Diele aus begehbar sind. 

Vor allem das Wohnzimmer überzeugt durch seine ansprechende Größe und bietet reichlich Platz für Ihr Mobiliar.

Die Küche bietet genügend Platz für eine Einbauküche und einen kleinen Esstisch und verfügt über einen praktischen Abstellschrank.

Das Schlafzimmer erlaubt das Aufstellen von einem Kleiderschrank und einem Bett.

Das Badezimmer mit Fenster befindet sich in einem gepflegten Zustand und verfügt über eine Badewanne, einem Waschbecken und einem WC.

Aufgrund großer Fenster macht die Wohnung insgesamt einen sehr hellen und freundlichen Eindruck.","In Ihrem neuen Zuhause können Sie nach wenigen Handgriffen einziehen.

Die Wände sind mit den Tapeten des Vormieters versehen und müssten gegebenenfalls erneuert werden.

Das Wohnzimmer und die Diele sind am Boden mit einem Laminat ausgestattet.

Die Küche ist am Boden gefliest. Ebenfalls befindet sich in der Küche ein Fliesenspiegel.

Zur Zeit befindet sich im Schlafzimmer ein Teppichboden.

Das moderne und anschauliche Tageslichtbad ist deckenhoch an den Wänden gefliest. Am Boden befinden sich ebenfalls Fliesen. Es ist mit einer Badewanne, einem Waschbecken und einem WC ausgestattet.

An der Decke befinden sich Holz Paneele, in welche Halogen Spoots eingelassen wurden.

Die Wohnung wird mittels einer Gas-Etagenheizung beheizt.

Die Warmwasseraufbereitung erfolgt kostengünstig über die Heizungsanlage.

Auf dem Dachboden besteht die Möglichkeit Wäsche zu trocknen.",NA,NA,NA,NA,NA,Oct19
Sachsen,88,NA,ONE_YEAR_FREE,NA,FALSE,TRUE,11,0.21,40,307,1930,112923517,NA,gas,FALSE,Sachsen,TRUE,1,219,28,40.2,Chemnitz,NA,normal,NA,Hofer Stra&szlig;e,Hofer_Straße,FALSE,1,apartment,09130,2,123,3,NA,2,FALSE,1,Chemnitz,Sonnenberg,Gemütliche 2-Raum Wohnung in Chemnitz.  komplette Wohneinheit ist mit Laminat ausgestattet / hübscher Balkon mit Blick ins Grüne / Keller vorhanden /  heller Wohn- und Schlafbereich / vom Wohnzimmer Zugang zum Balkon / sehr hübsch deckenhoch gefliestes Bad mit Wanne /,NA,NA,NA,NA,NA,NA,Oct19
